accommodation_direct_night,accommodation_direct_orders,accommodation_name,accommodation_order,accommodation_refuse_orders,accommodation_total_night,city,city_avg_actual_night,city_avg_actual_order,city_avg_night,city_avg_order,city_direct_orders,city_direct_refuse_rate,comment_num,inn,level,province,real_accommodation_direct_night,real_accommodation_night,real_accommodation_order,real_city_order,room_num,score,shopping
800,50,和颐至尊酒店(上海南京路步行街店),40,8000,50,上海,200,10,300,70,20,86%,6365,是,高档型,上海,10,80,500,508,188,4.6,人民广场|静安寺/南京西路
200,40,上海协信莎玛长风服务式公寓,30,6000,30,上海,500,60,600,20,10,86%,1274,是,高档型,上海,50,90,800,509,404,4.7,长风公园
100,70,上海外滩悦榕庄,,9000,40,上海,200,80,800,70,90,83%,3582,是,豪华型,上海,80,80,800,501,130,4.5,北外滩
900,40,上海东方滨江大酒店(国际会议中心),60,8000,50,上海,400,10,800,20,70,80%,5293,是,五星级,上海,20,60,600,501,273,4.6,
600,70,上海世博洲际酒店,90,9000,60,上海,600,10,800,10,10,87%,2466,,五星级,上海,60,10,900,505,384,4.6,新国际博览中心
300,80,上海王宝和大酒店,10,8000,80,上海,700,30,200,,40,84%,1416,是,四星级,上海,20,90,400,509,312,4.5,人民广场
800,80,上海中星铂尔曼大酒店,80,9000,30,上海,700,60,300,10,90,82%,2817,是,,上海,50,70,100,506,333,4.6,上海火车南站
100,70,上海龙之梦万丽酒店,90,5000,40,上海,400,70,100,10,20,85%,3152,是,五星级,上海,30,60,100,500,,4.4,中山公园
700,40,上海中油阳光大酒店,50,3000,20,上海,800,,600,90,60,88%,3124,,五星级,上海,90,80,200,500,318,4.6,陆家嘴
400,80,上海虹桥诺富特全套房酒店,60,,90,上海,400,90,400,,70,84%,2512,是,高档型,上海,40,30,800,505,204,4.6,虹桥机场/国家会展中心
700,30,上海虹桥祥源希尔顿酒店,10,1000,70,上海,700,20,400,40,10,81%,4539,是,豪华型,上海,80,60,,509,579,4.5,虹桥
500,,上海虹桥英迪格酒店,30,3000,30,上海,600,20,300,10,90,85%,1341,是,豪华型,上海,60,40,500,504,227,4.6,虹桥机场/国家会展中心
400,80,上海苏宁宝丽嘉酒店,90,9000,40,上海,100,60,700,90,70,87%,1742,是,豪华型,上海,20,,700,508,160,4.7,外滩
800,50,汉庭优佳酒店(上海大柏树地铁站店),70,8000,70,上海,400,40,600,10,10,81%,439,是,舒适型,上海,80,,500,500,55,4.7,江湾/五角场
700,20,上海浦东嘉里大酒店,30,7000,80,上海,,40,200,80,30,87%,3040,是,豪华型,上海,40,60,100,507,574,4.6,新国际博览中心
200,90,上海国际饭店,90,9000,60,上海,700,80,200,30,80,83%,5546,是,四星级,上海,90,10,100,503,261,4.4,人民广场
500,50,白玉兰酒店(上海新天地店),30,1000,20,上海,300,60,900,10,10,82%,1168,是,舒适型,上海,50,10,800,501,114,4.7,打浦桥
