房间号,二级分类,品名,单位,单价（元）,数量,合计(元)
502,物联网,智能空调控制模块 ,套,1560,2,3120
503,物联网,智能空调控制模块 ,套,1560,2,3120
504,物联网,智能空调控制模块 ,套,1560,2,3120
505,物联网,智能空调控制模块 ,套,1560,2,3120
506,物联网,智能空调控制模块 ,套,1560,2,3120
507,物联网,智能空调控制模块 ,套,1560,2,3120
509,物联网,智能空调控制模块 ,套,1560,2,3120
511,物联网,智能空调控制模块 ,套,1560,2,3120
513,物联网,智能空调控制模块 ,套,1560,2,3120
506,显示器支架系统,吊装支架,套,600,6,3600
501,音响及声学设备,线阵列音柱,台,1200,4,4800
502,音响及声学设备,线阵列音柱,台,1200,4,4800
503,音响及声学设备,线阵列音柱,台,1200,4,4800
504,音响及声学设备,线阵列音柱,台,1200,4,4800
505,音响及声学设备,线阵列音柱,台,1200,4,4800
506,音响及声学设备,线阵列音柱,台,1200,4,4800
507,音响及声学设备,线阵列音柱,台,1200,4,4800
509,音响及声学设备,线阵列音柱,台,1200,4,4800
511,音响及声学设备,线阵列音柱,台,1200,4,4800
513,音响及声学设备,线阵列音柱,台,1200,4,4800
506,其他,主讲端智能云盒,台,5000,1,5000
501,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
502,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
503,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
504,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
505,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
506,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
507,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
509,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
511,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
513,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
501,物联网,电子课牌(21.5寸),块,6800,1,6800
502,物联网,电子课牌(21.5寸),块,6800,1,6800
503,物联网,电子课牌(21.5寸),块,6800,1,6800
504,物联网,电子课牌(21.5寸),块,6800,1,6800
505,物联网,电子课牌(21.5寸),块,6800,1,6800
506,物联网,电子课牌(21.5寸),块,6800,1,6800
507,物联网,电子课牌(21.5寸),块,6800,1,6800
509,物联网,电子课牌(21.5寸),块,6800,1,6800
511,物联网,电子课牌(21.5寸),块,6800,1,6800
513,物联网,电子课牌(21.5寸),块,6800,1,6800
506,其他,教室云盒,台,8500,1,8500
501,物联网,智能电源控制箱,台,10400,1,10400
502,物联网,智能电源控制箱,台,10400,1,10400
503,物联网,智能电源控制箱,台,10400,1,10400
504,物联网,智能电源控制箱,台,10400,1,10400
505,物联网,智能电源控制箱,台,10400,1,10400
506,物联网,智能电源控制箱,台,10400,1,10400
507,物联网,智能电源控制箱,台,10400,1,10400
509,物联网,智能电源控制箱,台,10400,1,10400
511,物联网,智能电源控制箱,台,10400,1,10400
513,物联网,智能电源控制箱,台,10400,1,10400
502,台式机还原系统,机房管理系统,个,440,28,12320
501,台式机还原系统,机房管理系统,个,440,49,21560
506,其他,小组智能云盒,台,4000,6,24000
506,显示大屏设备,55寸电视,块,5000,6,30000
506,其他,主讲端课堂交互系统软件,套,30000,1,30000
501,显示大屏设备,86英寸互动黑板,套,57789,1,57789
502,显示大屏设备,86英寸互动黑板,套,57789,1,57789
503,显示大屏设备,86英寸互动黑板,套,57789,1,57789
504,显示大屏设备,86英寸互动黑板,套,57789,1,57789
505,显示大屏设备,86英寸互动黑板,套,57789,1,57789
507,显示大屏设备,86英寸互动黑板,套,57789,1,57789
509,显示大屏设备,86英寸互动黑板,套,57789,1,57789
511,显示大屏设备,86英寸互动黑板,套,57789,1,57789
513,显示大屏设备,86英寸互动黑板,套,57789,1,57789
506,其他,小组端课堂交互系统软件,套,18000,6,108000
506,显示大屏设备,86英寸互动黑板,套,57789,2,115578
502,台式机,学生终端,套,8500,28,238000
501,台式机,学生终端,套,8500,49,416500
