产品型号,产品类型,最大吸力(Pa),电池容量(mAh),机身厚度(cm),续航时间(分钟),越障高度(cm),适用面积(㎡),价格(元),核心功能
云鲸-S95,迷你款,4000,6000,7.2,120,4.0,92,1599,大吸力 + 地毯模式 + 定时清扫
美的-S70,超薄款,3500,7000,6.5,200,2.5,103,1599,扫拖一体 + 自动回充 + 避障
美的-X75,大吸力款,2500,3000,8.0,150,2.5,122,2999,扫拖一体 + 自动回充 + 避障
石头-S20,续航款,1800,6000,9.0,90,2.5,78,999,扫拖一体 + 自动回充 + 避障
海尔-S43,扫拖一体,1800,4000,8.5,120,2.5,127,999,迷你机身 + 小户型专用 + 边刷清洁
小米-S60,超薄款,2500,2000,9.0,180,3.5,139,999,扫拖一体 + 自动回充 + 避障
石头-X61,超薄款,4000,6000,6.5,120,3.5,170,1299,扫拖一体 + 自动回充 + 避障
科沃斯-G56,续航款,1800,7000,7.2,120,3.5,114,2999,长续航 + 大水箱 + 语音控制
小米-X33,迷你款,5000,7000,10.5,200,4.0,131,1599,超薄机身 + 床底清扫+APP 控制
海尔-G53,迷你款,5000,2000,7.2,180,2.0,70,1599,超薄机身 + 床底清扫+APP 控制
石头-X14,续航款,5000,4000,8.0,90,3.5,83,1299,扫拖一体 + 自动回充 + 避障
科沃斯-G99,迷你款,3000,7000,10.5,90,3.0,134,1999,超薄机身 + 床底清扫+APP 控制
小米-G67,大吸力款,4500,7000,8.0,90,3.5,65,1999,大吸力 + 地毯模式 + 定时清扫
科沃斯-T20,续航款,5000,3000,8.5,200,2.0,155,2999,长续航 + 大水箱 + 语音控制
小米-G58,超薄款,4000,7000,7.2,150,3.0,166,1299,扫拖一体 + 自动回充 + 避障
美的-G83,扫拖一体,5000,6000,10.5,180,3.5,181,3499,扫拖一体 + 自动回充 + 避障
美的-G60,超薄款,1800,3000,6.5,180,2.5,160,2999,大吸力 + 地毯模式 + 定时清扫
石头-X48,超薄款,4000,6000,7.2,200,3.5,166,999,长续航 + 大水箱 + 语音控制
小米-X28,超薄款,4500,3000,8.5,180,2.0,130,1599,扫拖一体 + 自动回充 + 避障
小米-T84,超薄款,3000,4000,9.0,90,3.0,85,1599,扫拖一体 + 自动回充 + 避障
海尔-T43,扫拖一体,2500,3000,8.0,150,2.5,192,999,超薄机身 + 床底清扫+APP 控制
美的-T98,超薄款,4500,6000,10.5,150,2.5,86,1599,超薄机身 + 床底清扫+APP 控制
海尔-G61,大吸力款,5000,5200,7.2,200,3.5,125,1299,迷你机身 + 小户型专用 + 边刷清洁
海尔-G47,大吸力款,4500,3000,8.5,200,3.0,61,1599,超薄机身 + 床底清扫+APP 控制
小米-G58,续航款,4000,4000,7.2,180,2.5,149,1599,迷你机身 + 小户型专用 + 边刷清洁
海尔-X50,迷你款,2500,5200,7.2,180,4.0,68,3499,大吸力 + 地毯模式 + 定时清扫
海尔-T60,迷你款,3000,5200,8.0,180,2.0,150,1999,扫拖一体 + 自动回充 + 避障
科沃斯-G69,超薄款,2500,6000,8.5,120,2.5,148,1299,大吸力 + 地毯模式 + 定时清扫
科沃斯-S39,大吸力款,1800,2000,7.2,120,2.5,158,2499,长续航 + 大水箱 + 语音控制
石头-S67,大吸力款,4500,5200,9.0,150,4.0,76,1999,大吸力 + 地毯模式 + 定时清扫
石头-S16,超薄款,5000,6000,9.0,90,3.0,90,1999,大吸力 + 地毯模式 + 定时清扫
科沃斯-T16,大吸力款,4000,4000,10.5,180,2.0,110,999,大吸力 + 地毯模式 + 定时清扫
石头-T81,续航款,2500,4000,9.0,90,2.5,56,1599,超薄机身 + 床底清扫+APP 控制
海尔-G16,迷你款,4000,3000,7.2,120,2.0,116,3499,长续航 + 大水箱 + 语音控制
石头-X49,大吸力款,3000,5200,10.5,90,4.0,120,999,超薄机身 + 床底清扫+APP 控制
科沃斯-S24,扫拖一体,4000,7000,9.0,200,4.0,95,999,扫拖一体 + 自动回充 + 避障
石头-T86,超薄款,4500,7000,6.5,180,4.0,77,2999,长续航 + 大水箱 + 语音控制
美的-G76,大吸力款,4500,7000,8.0,90,2.5,89,1599,大吸力 + 地毯模式 + 定时清扫
海尔-X42,迷你款,3000,3000,6.5,150,2.5,66,999,长续航 + 大水箱 + 语音控制
海尔-G68,迷你款,2500,7000,10.5,90,2.5,82,2999,迷你机身 + 小户型专用 + 边刷清洁
