房间号,二级分类,品名,单位,单价（元）,数量,合计(元)
406,物联网,多媒体交互一体机,台,1430,1,1430
407,物联网,多媒体交互一体机,台,1430,1,1430
408,物联网,多媒体交互一体机,台,1430,1,1430
409,物联网,多媒体交互一体机,台,1430,1,1430
411,物联网,多媒体交互一体机,台,1430,1,1430
413,物联网,多媒体交互一体机,台,1430,1,1430
401,其他,学生全景摄像机,台,1625,1,1625
401,音响及声学设备,数字红外接收器,台,835,2,1670
402,音响及声学设备,数字红外接收器,台,835,2,1670
403,音响及声学设备,数字红外接收器,台,835,2,1670
404,音响及声学设备,数字红外接收器,台,835,2,1670
405,音响及声学设备,数字红外接收器,台,835,2,1670
406,音响及声学设备,数字红外接收器,台,835,2,1670
407,音响及声学设备,数字红外接收器,台,835,2,1670
408,音响及声学设备,数字红外接收器,台,835,2,1670
409,音响及声学设备,数字红外接收器,台,835,2,1670
411,音响及声学设备,数字红外接收器,台,835,2,1670
413,音响及声学设备,数字红外接收器,台,835,2,1670
401,白板,钢化玻璃白板,块,2025,1,2025
402,白板,钢化玻璃白板,块,2025,1,2025
403,白板,钢化玻璃白板,块,2025,1,2025
404,白板,钢化玻璃白板,块,2025,1,2025
405,白板,钢化玻璃白板,块,2025,1,2025
406,白板,钢化玻璃白板,块,2025,1,2025
407,白板,钢化玻璃白板,块,2025,1,2025
408,白板,钢化玻璃白板,块,2025,1,2025
409,白板,钢化玻璃白板,块,2025,1,2025
411,白板,钢化玻璃白板,块,2025,1,2025
413,白板,钢化玻璃白板,块,2025,1,2025
401,物联网,电动窗帘组,套,2400,1,2400
402,物联网,电动窗帘组,套,2400,1,2400
403,物联网,电动窗帘组,套,2400,1,2400
404,物联网,电动窗帘组,套,2400,1,2400
405,物联网,电动窗帘组,套,2400,1,2400
406,物联网,电动窗帘组,套,2400,1,2400
407,物联网,电动窗帘组,套,2400,1,2400
408,物联网,电动窗帘组,套,2400,1,2400
409,物联网,电动窗帘组,套,2400,1,2400
411,物联网,电动窗帘组,套,2400,1,2400
413,物联网,电动窗帘组,套,2400,1,2400
401,其他,录播盒子,台,2530,1,2530
401,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
402,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
403,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
404,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
405,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
406,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
407,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
408,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
409,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
411,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
413,时钟,IP广播与网络授时时钟终端,台,2574,1,2574
401,物联网,多媒体控制终端,台,2990,1,2990
402,物联网,多媒体控制终端,台,2990,1,2990
403,物联网,多媒体控制终端,台,2990,1,2990
404,物联网,多媒体控制终端,台,2990,1,2990
405,物联网,多媒体控制终端,台,2990,1,2990
406,物联网,多媒体控制终端,台,2990,1,2990
407,物联网,多媒体控制终端,台,2990,1,2990
408,物联网,多媒体控制终端,台,2990,1,2990
409,物联网,多媒体控制终端,台,2990,1,2990
411,物联网,多媒体控制终端,台,2990,1,2990
413,物联网,多媒体控制终端,台,2990,1,2990
401,物联网,智能空调控制模块 ,套,1560,2,3120
402,物联网,智能空调控制模块 ,套,1560,2,3120
403,物联网,智能空调控制模块 ,套,1560,2,3120
404,物联网,智能空调控制模块 ,套,1560,2,3120
405,物联网,智能空调控制模块 ,套,1560,2,3120
406,物联网,智能空调控制模块 ,套,1560,2,3120
407,物联网,智能空调控制模块 ,套,1560,2,3120
408,物联网,智能空调控制模块 ,套,1560,2,3120
409,物联网,智能空调控制模块 ,套,1560,2,3120
411,物联网,智能空调控制模块 ,套,1560,2,3120
413,物联网,智能空调控制模块 ,套,1560,2,3120
401,音响及声学设备,线阵列音柱,台,1200,4,4800
401,显示器支架系统,吊装支架,套,600,8,4800
402,音响及声学设备,线阵列音柱,台,1200,4,4800
403,音响及声学设备,线阵列音柱,台,1200,4,4800
404,音响及声学设备,线阵列音柱,台,1200,4,4800
405,音响及声学设备,线阵列音柱,台,1200,4,4800
406,音响及声学设备,线阵列音柱,台,1200,4,4800
407,音响及声学设备,线阵列音柱,台,1200,4,4800
408,音响及声学设备,线阵列音柱,台,1200,4,4800
409,音响及声学设备,线阵列音柱,台,1200,4,4800
411,音响及声学设备,线阵列音柱,台,1200,4,4800
413,音响及声学设备,线阵列音柱,台,1200,4,4800
401,其他,主讲端智能云盒,台,5000,1,5000
401,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
402,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
403,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
404,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
405,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
406,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
407,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
408,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
409,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
411,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
413,音响及声学设备,数字红外无线教学扩声系统主机,台,6500,1,6500
401,物联网,电子课牌(21.5寸),块,6800,1,6800
402,物联网,电子课牌(21.5寸),块,6800,1,6800
403,物联网,电子课牌(21.5寸),块,6800,1,6800
404,物联网,电子课牌(21.5寸),块,6800,1,6800
405,物联网,电子课牌(21.5寸),块,6800,1,6800
406,物联网,电子课牌(21.5寸),块,6800,1,6800
407,物联网,电子课牌(21.5寸),块,6800,1,6800
408,物联网,电子课牌(21.5寸),块,6800,1,6800
409,物联网,电子课牌(21.5寸),块,6800,1,6800
411,物联网,电子课牌(21.5寸),块,6800,1,6800
413,物联网,电子课牌(21.5寸),块,6800,1,6800
401,其他,教室云盒,台,8500,1,8500
401,物联网,智能电源控制箱,台,10400,1,10400
402,物联网,智能电源控制箱,台,10400,1,10400
403,物联网,智能电源控制箱,台,10400,1,10400
404,物联网,智能电源控制箱,台,10400,1,10400
405,物联网,智能电源控制箱,台,10400,1,10400
406,物联网,智能电源控制箱,台,10400,1,10400
407,物联网,智能电源控制箱,台,10400,1,10400
408,物联网,智能电源控制箱,台,10400,1,10400
409,物联网,智能电源控制箱,台,10400,1,10400
411,物联网,智能电源控制箱,台,10400,1,10400
413,物联网,智能电源控制箱,台,10400,1,10400
401,时钟,IP广播与网络授时系统软件,套,20000,1,20000
401,台式机还原系统,机房管理系统,个,440,49,21560
409,台式机还原系统,机房管理系统,个,440,49,21560
401,其他,主讲端课堂交互系统软件,套,30000,1,30000
401,其他,小组智能云盒,台,4000,8,32000
401,物联网,手机APP,套,36000,1,36000
401,显示大屏设备,55寸电视,块,5000,8,40000
402,显示大屏设备,86英寸互动黑板,套,57789,1,57789
403,显示大屏设备,86英寸互动黑板,套,57789,1,57789
404,显示大屏设备,86英寸互动黑板,套,57789,1,57789
405,显示大屏设备,86英寸互动黑板,套,57789,1,57789
406,显示大屏设备,86英寸互动黑板,套,57789,1,57789
407,显示大屏设备,86英寸互动黑板,套,57789,1,57789
408,显示大屏设备,86英寸互动黑板,套,57789,1,57789
409,显示大屏设备,86英寸互动黑板,套,57789,1,57789
411,显示大屏设备,86英寸互动黑板,套,57789,1,57789
413,显示大屏设备,86英寸互动黑板,套,57789,1,57789
401,显示大屏设备,86英寸互动黑板,套,57789,2,115578
401,其他,小组端课堂交互系统软件,套,18000,8,144000
401,物联网,智慧实验室支撑平台（必选）,套,182000,1,182000
401,物联网,实验室智能中控箱（必选）,台,42900,5,214500
401,台式机,学生终端,套,8500,49,416500
409,台式机,学生终端,套,8500,49,416500
